campaign_website_url,electoral_position,candidate_position,candidate_history,election_result,election_type,number_of_votes_for_race,number_of_votes_for_candidate,vote_share,race_funding,candidate_funding,funding_share,contacted
https://www.feliciamooreformayor.com/,Mayor,Open,In-Office,Won,General,96158,39202,0.4076831881,,,#DIV/0!,Not-Contacted
https://kasimreed.com/,Mayor,Open,Previously-Elected,Won,General,96158,21541,0.2240167225,,,#DIV/0!,Contacted
https://www.annissaforboston.com/,Mayor,Challenger,In-Office,Lost,General,76953,29963,0.389367536,,,#DIV/0!,Contacted
https://www.michelleforboston.com/,Mayor,Challenger,In-Office,Won,General,76953,46990,0.610632464,,,#DIV/0!,Contacted
https://byronbrown.com/,Mayor,Incumbent,In-Office,Lost,General,23186,10669,0.4601483654,,,#DIV/0!,Contacted
https://www.indiawalton.com/,Mayor,Challenger,Never-Held-Office,Won,General,23186,11718,0.5053911843,,,#DIV/0!,Contacted
https://mannforcincinnati.com/,Mayor,Open,In-Office,Lost,General,51402,17603,0.3424574919,,,#DIV/0!,Contacted
https://aftabformayor.com/,Mayor,Open,In-Office,Won,General,51402,33799,0.6575425081,,,#DIV/0!,Not-Contacted
https://www.bibbforcle.com/,Mayor,Open,Never-Held-Office,Won,General,57490,36138,0.6285962776,,,#DIV/0!,Contacted
https://www.kevinforcle.com/,Mayor,Open,In-Office,Lost,General,57490,21352,0.3714037224,,,#DIV/0!,Contacted
https://dugganfordetroit.com/,Mayor,Incumbent,In-Office,Won,General,91703,69329,0.7560167061,,,#DIV/0!,Contacted
https://anthonyadamsformayor.com/,Mayor,Challenger,Never-Held-Office,Lost,General,91703,22374,0.2439832939,,,#DIV/0!,Contacted
https://lorenaforseattle.com/,Mayor,Open,In-Office,Lost,General,198359,74893,0.3775629036,,,#DIV/0!,Contacted
https://www.bruceforseattle.com/,Mayor,Open,Previously-Elected,Won,General,198359,122836,0.6192610368,,,#DIV/0!,Contacted
https://blackmon4stpete.com/,Mayor,Open,Previously-Elected,Lost,General,63749,25712,0.403331817,,,#DIV/0!,Not-Contacted
https://www.kenwelch.com/,Mayor,Open,Previously-Elected,Won,General,63749,38037,0.596668183,,,#DIV/0!,Contacted
https://jacobfrey.org/,Mayor,Incumbent,In-Office,Won,General,143974,61620,0.4279939434,,,#DIV/0!,Contacted
https://awed4mayor.org/,Mayor,Challenger,Never-Held-Office,Lost,General,143974,6860,0.04764749191,,,#DIV/0!,Contacted
https://clintconner2021.com/,Mayor,Challenger,Never-Held-Office,Lost,General,143974,4309,0.02992901496,,,#DIV/0!,Contacted
https://www.globusformayor.com/,Mayor,Challenger,Never-Held-Office,Lost,General,143974,1158,0.008043118896,,,#DIV/0!,Contacted
https://mplsforkate.com/,Mayor,Challenger,Never-Held-Office,Lost,General,143974,26468,0.1838387487,,,#DIV/0!,Contacted
https://www.sheilaforthepeople.com/,Mayor,Challenger,Never-Held-Office,Lost,General,143974,30368,0.2109269729,,,#DIV/0!,Not-Contacted
https://www.votebobagain.com/,Mayor,Challenger,Never-Held-Office,Lost,General,143974,2788,0.0193646075,,,#DIV/0!,Contacted
https://turnerroundmpls.com/,Mayor,Challenger,Never-Held-Office,Lost,General,143974,4620,0.0320891272,,,#DIV/0!,Contacted
https://www.teamteresa.org/,Council,Incumbent,In-Office,Won,General,188789,105706,0.5599160968,,,#DIV/0!,Contacted
https://www.kenforcouncil8.com/,Council,Challenger,Never-Held-Office,Lost,General,188789,82202,0.4354173177,,,#DIV/0!,Contacted
https://www.saraforcitycouncil.com/,Council,Open,Never-Held-Office,Won,General,193867,111107,0.5731093997,,,#DIV/0!,Contacted
https://www.nikkitafornine.com/,Council,Open,Never-Held-Office,Lost,General,193867,82397,0.4250181826,,,#DIV/0!,Contacted
